                    ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
const               ,    2.3064,    0.183,   12.579, 0.000,    1.947,    2.666
age_index           ,    0.9501,    0.063,   15.129, 0.000,    0.827,    1.073
age_index_square    ,   -0.5517,    0.110,   -5.018, 0.000,   -0.767,   -0.336
age_index_cube      ,    0.0767,    0.032,    2.372, 0.018,    0.013,    0.140
edu_index           ,    0.1050,    0.018,    5.896, 0.000,    0.070,    0.140
female              ,    0.2226,    0.083,    2.697, 0.007,    0.061,    0.385
dom_situation_dummy ,    0.0550,    0.052,    1.056, 0.291,   -0.047,    0.157
hh_members_dummy    ,    0.0550,    0.052,    1.056, 0.291,   -0.047,    0.157
hh_children_dummy   ,   -0.0475,    0.105,   -0.451, 0.652,   -0.254,    0.159
location_urban_index,   -0.0049,    0.029,   -0.168, 0.867,   -0.062,    0.053